Database???Annual
Year£ºLATEST20
Indicators,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Producer Price Indices for Industrial Products (preceding year=100),97.8,97.0,104.1,108.1,98.2,99.7,103.5,106.3,98.6,94.8,98.1,98.1,98.3,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Mining and Washing of Coal,,88.1,117.0,145.1,94.6,100.8,104.6,128.2,98.3,85.3,89.0,88.7,97.0,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Extraction of Petroleum and Natural Gas,,89.8,135.9,138.7,72.6,96.4,124.3,129.0,83.6,62.7,96.6,95.8,99.4,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Mining and Processing of Ferrous Metal Ores,,98.1,84.6,131.0,107.0,112.3,103.0,115.6,96.5,79.7,91.2,97.0,89.0,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Mining and Processing of Non-Ferrous Metal Ores,,106.0,108.3,113.1,104.8,101.2,104.4,114.0,102.3,92.9,96.5,95.7,97.6,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Mining and Processing of Non-metal Ores,,100.2,105.9,103.1,101.5,104.8,107.1,105.0,99.0,97.5,99.3,100.6,103.4,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Support Activities for Mining,,100.5,99.0,98.4,99.1,101.4,95.3,98.2,99.7,96.9,99.4,105.3,102.6,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Mining of Other Ores,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Processing of Food from Agricultural Products,,99.4,104.7,103.9,104.8,103.0,100.3,100.6,100.2,98.7,99.1,101.2,102.2,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Foods,,99.4,103.7,101.8,100.6,101.3,101.6,101.2,99.8,99.9,102.0,101.7,102.2,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Liquor Beverages and Refined Tea,,101.2,101.0,101.6,100.7,101.2,101.6,100.3,99.1,99.7,100.5,100.1,101.9,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Tobacco,,100.9,100.6,100.6,101.4,102.3,100.4,100.0,100.1,100.4,100.3,100.4,101.3,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Textile,,96.8,103.6,104.1,95.3,99.4,102.3,103.1,98.7,97.7,99.4,99.8,96.6,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Textile Wearing Apparel and Accessories,,100.8,101.3,99.9,98.8,100.6,101.0,100.8,100.5,100.7,100.2,101.1,102.3,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Leather Fur Feather and Related Products and Footware,,101.9,101.8,99.7,99.3,101.4,100.6,101.0,100.9,100.8,101.8,102.2,102.3,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products,,98.6,101.8,101.4,99.3,100.9,101.7,100.5,99.7,99.8,100.9,100.8,102.2,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Furniture,,100.6,101.7,100.2,100.0,101.3,101.2,101.7,101.1,100.6,100.8,100.5,101.7,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Paper and Paper Products,,94.7,100.6,104.9,97.2,95.0,106.7,109.5,99.8,98.8,99.2,97.7,98.5,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Printing and Reproduction of Recording Media,,99.4,101.0,100.5,98.7,100.2,101.8,101.3,99.4,99.6,100.0,99.5,100.4,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Articles for Culture Education Arts and Crafts Sport and Entertainment Activities,,104.8,103.2,101.7,103.3,102.7,99.5,101.1,102.8,99.5,99.8,99.1,100.8,,,,,,,
